element_id,player,position,club,player_cost,value_ratio,global_ownership,global_captain_percent,league_ownership,league_captain_percent,league_owner_count,league_owners,points_gw,minutes,status,opponent_team,kickoff_time,fixture_started,fixture_finished
191,Maxime Estève,DEF,Burnley,4.0,0.25,19.9,1.0,40.0,0.0,8,John Matthew; Jared Alexander; Kevin Tomek; Brian Pleines; Wes H; Kevin K; Brett Swikle; Tony Tharakan,1,90,played,Spurs,2025-08-16T14:00:00Z,True,True
192,Quilindschy Hartman,DEF,Burnley,4.0,0.25,0.5,1.0,5.0,0.0,1,Max Maier,1,90,played,Spurs,2025-08-16T14:00:00Z,True,True
193,Bashir Humphreys,DEF,Burnley,4.0,0.0,0.1,0.2,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
194,Jordan Beyer,DEF,Burnley,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
195,Lucas Pires Silva,DEF,Burnley,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
196,Shurandy Sambo,DEF,Burnley,4.0,0.0,0.1,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
197,Oliver Sonne,DEF,Burnley,4.0,0.25,0.1,1.0,5.0,0.0,1,JP Fischer,1,73,played,Spurs,2025-08-16T14:00:00Z,True,True
198,Axel Tuanzebe,DEF,Burnley,4.0,0.0,2.4,1.0,5.0,0.0,1,Andrew Vidal,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
199,Joe Worrall,DEF,Burnley,4.0,0.0,0.1,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
200,Jaidon Anthony,MID,Burnley,5.5,0.36,0.1,2.0,0,0,0,,2,84,played,Spurs,2025-08-16T14:00:00Z,True,True
201,Manuel Benson Hedilazio,MID,Burnley,5.5,0.0,0.0,2.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
202,Jacob Bruun Larsen,MID,Burnley,5.5,0.18,0.0,2.0,0,0,0,,1,27,played,Spurs,2025-08-16T14:00:00Z,True,True
203,Enock Agyei,MID,Burnley,5.0,0.0,0.1,1.5,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
204,Darko Churlinov,MID,Burnley,5.0,0.0,0.0,1.5,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
205,Josh Cullen,MID,Burnley,5.0,0.8,0.1,1.5,0,0,0,,4,90,played,Spurs,2025-08-16T14:00:00Z,True,True
206,Marcus Edwards,MID,Burnley,5.0,0.2,0.1,1.5,0,0,0,,1,5,played,Spurs,2025-08-16T14:00:00Z,True,True
207,Hannibal Mejbri,MID,Burnley,5.0,0.4,0.1,1.5,0,0,0,,2,62,played,Spurs,2025-08-16T14:00:00Z,True,True
208,Luca Koleosho,MID,Burnley,5.0,0.0,0.0,1.5,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
209,Josh Laurent,MID,Burnley,5.0,0.4,0.0,1.5,0,0,0,,2,62,played,Spurs,2025-08-16T14:00:00Z,True,True
210,Loum Tchaouna,MID,Burnley,5.0,0.2,0.0,1.5,0,0,0,,1,16,played,Spurs,2025-08-16T14:00:00Z,True,True
211,Aaron Ramsey,MID,Burnley,4.5,0.0,9.5,1.0,20.0,0.0,4,Andrew Vidal; John Matthew; Patrick McCleary; Chris Munoz,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
212,Oluwaseun Adewumi,MID,Burnley,4.5,0.0,0.0,0.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
213,Jaydon Banel,MID,Burnley,4.5,0.0,0.0,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
214,Mike Trésor Ndayishimiye,MID,Burnley,4.5,0.0,0.1,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
215,Zian Flemming,FWD,Burnley,5.5,0.18,0.2,1.7,0,0,0,,1,16,played,Spurs,2025-08-16T14:00:00Z,True,True
216,Zeki Amdouni,FWD,Burnley,5.0,0.0,0.1,0.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
217,Lyle Foster,FWD,Burnley,5.0,0.4,0.5,1.4,0,0,0,,2,73,played,Spurs,2025-08-16T14:00:00Z,True,True
218,Ashley Barnes,FWD,Burnley,4.5,0.0,2.4,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
219,Michael Obafemi,FWD,Burnley,4.5,0.0,0.4,1.0,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
470,Martin Dúbravka,GK,Burnley,4.0,0.5,34.6,1.0,50.0,0.0,10,John Sebastian; Andrew Vidal; Adrian McLoughlin; John Matthew; Joe Curran; Evan Bagheri; Wes H; Dean Maghsadi; Kevin K; Tony Tharakan,2,90,played,Spurs,2025-08-16T14:00:00Z,True,True
676,Lesley Ugochukwu,MID,Burnley,5.0,0.2,0.0,1.5,0,0,0,,1,27,played,Spurs,2025-08-16T14:00:00Z,True,True
680,Armando Broja,FWD,Burnley,5.5,0.0,0.3,1.7,0,0,0,,0,0,dnp,Spurs,2025-08-16T14:00:00Z,True,True
66,Norberto Murara Neto,GK,Bournemouth,4.5,0.0,0.2,0.0,0,0,0,,0,0,dnp,Liverpool,2025-08-15T19:00:00Z,True,True
67,Đorđe Petrović,GK,Bournemouth,4.5,0.44,3.4,2.3,0,0,0,,2,90,played,Liverpool,2025-08-15T19:00:00Z,True,True
68,Will Dennis,GK,Bournemouth,4.0,0.0,1.0,1.0,0,0,0,,0,0,dnp,Liverpool,2025-08-15T19:00:00Z,True,True
69,Callan McKenna,GK,Bournemouth,4.0,0.0,0.2,1.0,0,0,0,,0,0,dnp,Liverpool,2025-08-15T19:00:00Z,True,True
